TIER 0 (50pts),TIER 1 (45pts),TIER 2 (40pts),TIER 3 (30pts),TIER 4 (15pts),TIER 5 (10pts),TIER 6 (5pts),TIER 7 (3pts)
Bulbasaur,Chansey,Clefairy,Vulpix,Oddish,Caterpie,Pidgey,Rattata
Charmander,Kangaskhan,Shellder,Growlithe,Venonat,Weedle,Spearow,Sandshrew
Squirtle,Scyther,Mr. Mime,Farfetch'd,Meowth,Pikachu,Ekans,Zubat
Eevee,Pinsir,Lapras,Exeggcute,Drowzee,Nidoran [M],Nidoran [F],Psyduck
Porygon,Sudowoodo,Omanyte,Staryu,Electabuzz,Jigglypuff,Diglett,Poliwag
Snorlax,Skarmory,Kabuto,Jynx,Hoothoot,Paras,Mankey,Machop
Chikorita,Shroomish,Aerodactyl,Magmar,Spinarak,Bellsprout,Abra,Tentacool
Cyndaquil,Slakoth,Aipom,Tauros,Wooper,Horsea,Ponyta,Geodude
Totodile,Skitty,Pineco,Dratini,Snubbull,Natu,Doduo,Slowpoke
Togepi,Plusle,Qwilfish,Sentret,Sneasel,Hoppip,Grimer,Magnemite
Tyrogue,Minun,Shuckle,Ledyba,Larvitar,Teddiursa,Cubone,Seel
Treecko,Gulpin,Corsola,Sunkern,Lotad,Wurmple,Lickitung,Gastly
Torchic,Castform,Houndour,Yanma,Surskit,Taillow,Tangela,Onix
Mudkip,Absol,Miltank,Murkrow,Spinda,Numel,Ditto,Krabby
Shedinja,Burmy,Ralts,Misdreavus,Trapinch,Swablu,Chinchou,Voltorb
Beldum,Combee,Nincada,Gligar,Lunatone,Snorunt,Mareep,Koffing
Turtwig,Cherubi,Lileep,Heracross,Corphish,Starly,Slugma,Rhyhorn
Chimchar,Spiritomb,Anorith,Remoraid,Kricketot,Hippopotas,Phanpy,Goldeen
Piplup,Skorupi,Feebas,Delibird,Pachirisu,Lillipup,Stantler,Magikarp
Riolu,Carnivine,Relicanth,Mantine,Buneary,Timburr,Poochyena,Marill
Rotom,Pansage,Bagon,Nosepass,Purrloin,Throh,Zigzagoon,Unown
Snivy,Pansear,Cranidos,Volbeat,Pidove,Sawk,Wingull,Wobbuffet
Tepig,Panpour,Shieldon,Illumise,Scraggy,Venipede,Whismur,Girafarig
Oshawott,Drilbur,Tirtouga,Carvanha,Axew,Cottonee,Makuhita,Dunsparce
,Audino,Archen,Wailmer,Bouffalant,Petilil,Sableye,Swinub
,Ducklett,Zorua,Cacnea,Rufflet,Dwebble,Mawile,Smeargle
,Emolga,Pawniard,Zangoose,Heatmor,Trubbish,Aron,Seedot
,Alomomola,,Seviper,Deino,Karrablast,Electrike,Meditite
,Larvesta,,Barboach,,Foongus,Roselia,Torkoal
,,,Kecleon,,Joltik,Spoink,Baltoy
,,,Tropius,,Ferroseed,Solrock,Shuppet
,,,Chimecho,,Tynamo,Clamperl,Duskull
,,,Luvdisc,,Cubchoo,Bidoof,Spheal
,,,Drifloon,,Shelmet,Shinx,Buizel
,,,Stunky,,,Snover,Shellos
,,,Chatot,,,Patrat,Glameow
,,,Gible,,,Munna,Bronzor
,,,Croagunk,,,Blitzle,Basculin
,,,Finneon,,,Roggenrola,Sandile
,,,Darumaka,,,Woobat,Yamask
,,,Maractus,,,Tympole,Deerling
,,,Sigilyph,,,Sewaddle,Frillish
,,,Cryogonal,,,Minccino,Litwick
,,,,,,Gothita,Mienfoo
,,,,,,Solosis,Golett
,,,,,,Vanillite,
,,,,,,Klink,
,,,,,,Elgyem,
,,,,,,Stunfisk,
,,,,,,Druddigon,
,,,,,,Vullaby,
,,,,,,Durant,
